slee208,,3,0,151,16972,61,5,0,1,3,0,22945,2,0,0,0,0,2,0,217,2014,0,1,0,0,0,0,0,32909,0,1
tzick002,,6,5,154,19739,155,5,0,1,3,21,23580,1,1,0,0,0,2,0,256,2013,0,1,0,0,0,0,0,32747,0,1
vchio001,,2,0,149,15437,4,1,0,0,3,0,19444,0,0,0,0,0,1,0,186,2013,0,1,0,0,0,0,0,32730,0,1
vgarc018,,6,0,163,19603,142,8,0,1,3,1,24347,3,10,0,0,1,3,0,256,2014,0,1,0,0,0,1,0,33062,0,1
vhall001,,2,0,149,15275,5,2,0,0,3,1,19363,0,0,0,0,1,1,0,186,2015,0,1,0,0,0,1,0,32881,0,1
wfink001,,4,2,293,17561,21,3,3,0,3,21,22919,0,0,0,0,1,3,0,218,2013,1215,1,0,0,0,0,0,35047,0,0
wlee030,,6,2,156,19746,286,5,5,0,3,20,23811,0,0,0,0,0,4,0,250,2015,1369,1,0,0,0,0,0,37795,0,0
yli066,,2,4,149,15346,13,2,0,1,3,36,19427,0,0,0,0,1,1,0,192,2015,0,1,0,0,0,1,0,36382,1944,0
yliu075,,3,0,151,16580,68,5,0,1,3,26,22697,1,1,0,0,1,2,0,208,2013,4546,411,0,1240,0,0,343,94979,905,0
yliu127,,7,0,152,19895,150,6,3,0,3,22,24186,0,0,0,0,0,2,0,266,2014,0,1,0,0,0,1,0,32863,0,1

